Date,Day,Entry,Exit
01/04/2026,Wednesday,9:30 am,8:40 pm
02/04/2026,Thursday,9:25 am,8:35 pm
03/04/2026,Friday,9:15 am,9:01 pm
04/04/2026,Saturday,9:30 am,9:20 pm
05/04/2026,Sunday,2:15 pm,8:55 pm
06/04/2026,Monday,9:20 am,8:40 pm
07/04/2026,Tuesday,10:20 am,4:40 pm
09/04/2026,Thursday,9:15 am,9:05 pm
10/04/2026,Friday,9:17 am,9:15 pm
11/04/2026,Saturday,9:30 am,8:50 pm
12/04/2026,Sunday,1:20 pm,8:34 pm
13/04/2026,Monday,9:15 am,9:00 pm
14/04/2026,Tuesday,9:35 am,8:55 pm
15/04/2026,Wednesday,9:45 am,8:45 pm
16/04/2026,Thursday,9:10 am,9:15 pm
17/04/2026,Friday,9:25 am,8:50 pm
18/04/2026,Saturday,9:30 am,9:20 pm
20/04/2026,Monday,9:25 am,8:55 pm
21/04/2026,Tuesday,9:30 am,9:35 pm
22/04/2026,Wednesday,9:05 am,7:05 pm
23/04/2026,Thursday,9:30 am,8:50 pm
24/04/2026,Friday,10:00 am,8:55 pm
25/04/2026,Saturday,9:20 am,8:45 pm
27/04/2026,Monday,9:30 am,9:45 pm
28/04/2026,Tuesday,9:20 am,8:40 pm
29/04/2026,Wednesday,9:30 am,9:20 pm
30/04/2026,Thursday,9:45 am,9:25 pm
